Origin,snowName,displayName,legacy,enabled
Script,LUX31 - LUX Luxembourg - rue d'Esch,,false,false
Script,MA002 - USA MA - Marlborough,,false,false
Script,MEX01 - MEX Mexicali - Cerrada De La Produccion,,false,false
Script,MI012 - USA MI - Highland,,false,false
Script,MI032 - USA MI - Sterling Heights Phoenix,,false,false
Script,MI041 - USA MI - Detroit (Union),,false,false
Script,MI042 - USA MI - Detroit (Non union),,false,false
Script,MN013 - USA MN - Minneapolis Medina Rd,,false,false
Script,C034 - USA NC - Creedmoor Alaris,,false,false
Script,NJ010 - USA NJ - Totowa 20 Campus Road,,false,false
Script,NJ031 - USA NJ - Wilson ? BDRx,"Wilson, North Carolina",false,false
Script,NJ034 - USA NJ - Franklin Lakes(BD Overseas),"Franklin Lakes, Overseas",false,false
Script,NLD05 - NLD Houten - De Molen,,false,false
Script,NLD32 - NLD Etten Leur - Bredaseweg,,false,false
Script,NM008 - USA NM - Albuquerque - Osuna,,false,false
Script,NZL31 - NZL Auckland - Mt Wellington,,false,false
Script,OH014 - USA OH - Cleveland,,false,false
Script,OH057 - USA OH - Lakewood Detroit Ave,,false,false
Script,OH064 - USA OH - Dublin FSS E Svc Ctr,,false,false
Script,OH070 - USA OH - Dublin - Metro Plc S,,false,false
Script,PAK31 - PAK Gulberg - Lahore,,false,false
Script,PRI32 - PRI San Lorenzo - Cerro Gordo Inst Park,"San Lorenzo, Puerto Rico",false,false
Script,PRT10 - PRT Lisbon - Carcavelos,,false,false
Script,PRT31 - PRT Porto - Rua Eng Ferreira Dias,,false,false
Script,ROU10 - ROU Bucharest - Iride Bus Pk (Genpact),,false,false
Script,SAU01 - SAU Riyadh - Al-Jeel Mdcl & Trading Co,"Riyadh, Saudi Arabia",false,true
Script,SGP01 - SGP Marina Bay Financial Ctr - Keppel Towers,,false,false
Script,SVK31 - SVK Slovakia Field,,false,false
Script,SWE01 - SWE Sollentuna - Hammarbacken,,false,false
Script,SWE32 - SWE Stockholm - Arstaangsvagen,,false,false
Script,SWE33 - SWE G?teborg - Carmel Pharma,,false,false
Script,THA31 - THA Bangkok - The Offices at Central World,,false,false
Script,TX050 - USA TX - San Antonio-Magic Dr,"San Antonio, Texas",false,true
Script,VNM31 - VNM Ho Chi Minh City - Osic Building,,false,false
Script,VNM32 - VNM Hanoi City - Cau Giay,,false,false
Script,WA001 - USA WA - Seattle -NE 43rd St,,false,false
Script,WA031 - USA WA - Seattle,,false,false
Script,WI031 - USA WI - Madison,,false,false
Script,ZAF01 - ZAF Cape Town - Oude Molen Bus Pk,,false,false
Script,ZAF02 - ZAF Durban - Pinetown,,false,false
Script,ZAF03 - ZAF Midrand - Allandale Bus Park,,false,false
Script,ZMB31 - ZMB Woodlands - Independence Ave,,false,false
dropDownList,,"Austin, New Zealand",false,false
dropDownList,,"Cockeysville, Maryland",false,false
dropDownList,,"Columbus, Nebraska",false,false
dropDownList,,"Durham, North Carolina",false,false
dropDownList,,"Madrid, Spain (Legacy Carefusion)",false,false
dropDownList,,"Mexico City, Mexico",false,false
dropDownList,,"Piscataway, New Jersey",false,false
dropDownList,,"Reading, England (Legacy Carefusion)",false,false
dropDownList,,"Rovigo, Italy (Legacy Carefusion)",false,false
dropDownList,,Safety Syringes,false,false
dropDownList,,"Sparks, Maryland",false,false
